Stores,Store Code,Description,Barcode,Retail Price,Sold Price,Last Sold,Avg Wkly Sales,Competitor,Price Check Date,Competitor Price,Diff (€),Diff (%),Match Cost (PW),Offer,Details
5,5563,BALLYGOWAN SPORT WATER STILL 1TR,5099483007588,1.69,1.69,23/02/2018,83,Super Value Website,25/02/2018,1.25,0.44,0.352,36.52,Special Offer,Feb 15th - Mar 7th
5,5563,BALLYGOWAN SPORT WATER STILL 1TR,5099483007588,1.69,1.69,23/02/2018,83,Tesco Ireland Website,25/02/2018,1.25,0.44,0.352,36.52,SAVE 34c Was 1.59 Now 1.25,valid from 7/2/2018 until 6/3/2018
5,140763,BALLYGOWAN STILL 750ML,5011026701791,1.39,1.39,23/02/2018,83,Tesco Ireland Website,25/02/2018,1.25,0.14,0.112,11.62,,
5,9251,B/JERRYS CHOC FUDGE BROWNIE 500ML,0076840600038,6.59,6.59,23/02/2018,80,Tesco Ireland Website,25/02/2018,3.5,3.09,0.8828,247.2,SAVE 2.80 Was 6.30 Now 3.50,valid from 30/1/2018 until 26/2/2018
5,8487,MAGUIRE & PAT LONG MATCHES,5011078210005,1.39,1.39,23/02/2018,80,Super Value Website,25/02/2018,0.94,0.45,0.4787,36,,
5,8487,MAGUIRE & PAT LONG MATCHES,5011078210005,1.39,1.39,23/02/2018,80,Tesco Ireland Website,25/02/2018,0.94,0.45,0.4787,36,,
5,3902,BRENNANS BE GOOD LOW CAL W/MEAL 600G,5011059001011,1.89,1.89,23/02/2018,80,Tesco Ireland Website,25/02/2018,1.6,0.29,0.1812,23.2,,
5,17359,IRISH PRIDE WHITE SLICED 400G,5099268018006,1.48,1.48,23/02/2018,79,Super Value Website,25/02/2018,1,0.48,0.48,37.92,Special Offer,Feb 15th - Mar 7th
5,17359,IRISH PRIDE WHITE SLICED 400G,5099268018006,1.48,1.48,23/02/2018,79,Tesco Ireland Website,25/02/2018,1,0.48,0.48,37.92,,
3,115446,GREEN ISLE OVEN CRISP SKINNY CHIPS 800G,5011003048208,2.89,2.89,23/02/2018,79,Super Value Website,25/02/2018,2.5,0.39,0.156,30.81,Special Offer,Feb 15th - Mar 7th
5,1088,ALPRO  CALC/VITS BLUE FRESH 1LTR,5411188091912,1.89,1.89,23/02/2018,78,Tesco Ireland Website,25/02/2018,0.89,1,1.1235,78,SAVE 1.00 Was 1.89 Now 89c,valid from 7/2/2018 until 6/3/2018
5,208403,TAYTO SALT/VINEGAR 35G,5011096008387,0.99,0.99,23/02/2018,78,Tesco Ireland Website,25/02/2018,0.85,0.14,0.1647,10.92,,
5,63286,BRENNANS BROWN&WHITE PAN 800G,5011059001431,1.99,1.99,23/02/2018,78,Tesco Ireland Website,25/02/2018,1.85,0.14,0.0756,10.92,,
5,10945,CLONAKILTY PUDDING WHITE CHUBB 280G,5099490000411,2.79,2.79,23/02/2018,76,Tesco Ireland Website,25/02/2018,2,0.79,0.395,60.04,SAVE 70c Was 2.70 Now 2.00,valid from 31/1/2018 until 27/2/2018
5,10958,BALLYFREE TURKEY RASHERS 150G,5011069067564,3.45,3.45,23/02/2018,76,Tesco Ireland Website,25/02/2018,3.15,0.3,0.0952,22.8,Any 2 For 5.00,valid from 31/1/2018 until 27/2/2018
